animal,contrast,genotype,0.2,0.5,0.8
SH002,-0.0625,S,0.7945205479452054,0.8425925925925926,0.9558652729384437
SH002,0.0,S,0.31464737793851716,0.494949494949495,0.7358490566037735
SH002,0.0625,S,0.4457274826789838,0.38144329896907214,0.264
SH002,0.125,S,0.6390532544378699,0.5227272727272727,0.497737556561086
SH002,0.25,S,0.835990888382688,0.7835051546391752,0.7635467980295566
SH002,1.0,S,0.9481743227326266,0.9333333333333333,0.8959276018099548
SH004,-1.0,S,0.88,0.9444444444444444,0.9826086956521739
SH004,-0.25,S,0.8484848484848485,1.0,0.940677966101695
SH004,-0.125,S,0.9375,0.8571428571428571,0.9009009009009009
SH004,-0.0625,S,0.8666666666666667,0.9047619047619048,0.9051724137931034
SH004,0.0,S,0.3333333333333333,0.4878048780487805,0.7115384615384616
SH004,0.0625,S,0.43564356435643564,0.2727272727272727,0.3333333333333333
SH004,0.125,S,0.7357142857142858,0.5294117647058824,0.44
SH004,0.25,S,0.9056603773584906,0.65,0.7941176470588235
SH004,1.0,S,0.9464285714285714,0.95,0.8846153846153846
SH006,-1.0,S,0.9215686274509803,1.0,0.952191235059761
SH006,-0.25,S,0.898989898989899,0.8629032258064516,0.9147121535181236
SH006,-0.125,S,0.8108108108108109,0.8061224489795918,0.8627450980392157
SH006,-0.0625,S,0.5583333333333333,0.6306306306306306,0.7483731019522777
SH006,0.0,S,0.536779324055666,0.46710526315789475,0.548936170212766
SH006,0.0625,S,0.8126195028680688,0.6415094339622641,0.5470085470085471
SH006,0.125,S,0.8960176991150443,0.8636363636363636,0.7580645161290323
SH006,0.25,S,0.95662100456621,0.93,0.8686868686868687
SH006,1.0,S,0.9807280513918629,0.956989247311828,0.9457364341085271
SH008,-1.0,S,0.9855072463768116,0.971830985915493,0.9938650306748467
SH008,-0.25,S,0.8533333333333334,0.8428571428571429,0.9333333333333333
SH008,-0.125,S,0.78125,0.5283018867924528,0.8383233532934131
SH008,-0.0625,S,0.4098360655737705,0.32727272727272727,0.547112462006079
SH008,0.0,S,0.6762177650429799,0.5423728813559322,0.3333333333333333
SH008,0.0625,S,0.9057750759878419,0.9420289855072463,0.7590361445783133
SH008,0.125,S,0.9140127388535032,0.9024390243902439,0.8591549295774648
SH008,0.25,S,0.8976897689768977,0.9107142857142857,0.8051948051948052
SH008,1.0,S,0.9069767441860465,0.9107142857142857,0.8316831683168316
SH013,-1.0,S,0.9261744966442953,0.9305555555555556,0.944
SH013,-0.25,S,0.7837837837837838,0.8712121212121212,0.9036918138041734
SH013,-0.125,S,0.5945945945945946,0.6666666666666666,0.8407960199004975
SH013,-0.0625,S,0.47651006711409394,0.5739130434782609,0.7173202614379085
SH013,0.0,S,0.62625,0.5111111111111111,0.5615183246073299
SH013,0.0625,S,0.8394863563402889,0.6218487394957983,0.5857142857142857
SH013,0.125,S,0.9100145137880987,0.7251908396946565,0.8170731707317073
SH013,0.25,S,0.9697428139183056,0.9099099099099099,0.8516483516483516
SH013,1.0,S,0.9788838612368024,0.9076923076923077,0.9673202614379085
SH014,-1.0,S,0.972972972972973,0.9907407407407407,0.9679389312977099
SH014,-0.25,S,0.9221556886227545,0.89,0.9554234769687965
SH014,-0.125,S,0.8819875776397516,0.803030303030303,0.9211309523809523
SH014,-0.0625,S,0.8269230769230769,0.5947712418300654,0.8799368088467614
SH014,0.0,S,0.6092233009708737,0.4956140350877193,0.48516129032258065
SH014,0.0625,S,0.869894099848714,0.864,0.7668711656441718
SH014,0.125,S,0.9232,0.9064748201438849,0.8390804597701149
SH014,0.25,S,0.9521531100478469,0.952054794520548,0.9515151515151515
SH014,1.0,S,0.9856,0.9844961240310077,0.972972972972973
SH015,-1.0,S,0.8099173553719008,0.845360824742268,0.9639278557114228
SH015,-0.25,S,0.7413793103448276,0.75,0.8793103448275862
SH015,-0.125,S,0.5555555555555556,0.6756756756756757,0.8657587548638133
SH015,-0.0625,S,0.5333333333333333,0.6385542168674698,0.7905660377358491
SH015,0.0,S,0.5564648117839607,0.5161290322580645,0.6269113149847095
SH015,0.0625,S,0.7855579868708972,0.5425531914893617,0.5339805825242718
SH015,0.125,S,0.8916155419222904,0.6276595744680851,0.7073170731707317
SH015,0.25,S,0.9507042253521126,0.8333333333333334,0.8897058823529411
SH015,1.0,S,0.9634146341463414,0.90625,0.9487179487179487
SH016,-1.0,S,1.0,1.0,1.0
SH016,-0.25,S,0.8,0.9166666666666666,0.896551724137931
SH016,-0.125,S,0.3,0.5555555555555556,0.7058823529411765
SH016,-0.0625,S,0.1111111111111111,0.2,0.6904761904761905
SH016,0.0,S,0.625,0.5333333333333333,0.5272727272727272
SH016,0.0625,S,0.6666666666666666,0.5555555555555556,0.2857142857142857
SH016,0.125,S,0.5294117647058824,0.7777777777777778,0.7692307692307693
SH016,0.25,S,0.7777777777777778,0.8571428571428571,0.3333333333333333
SH016,1.0,S,0.8076923076923077,0.8,0.4
SH017,-1.0,S,0.9953488372093023,0.9921875,0.9941792782305006
SH017,-0.25,S,0.9587155963302753,0.9848484848484849,0.9775280898876404
SH017,-0.125,S,0.956140350877193,0.972972972972973,0.9692982456140351
SH017,-0.0625,S,0.8815165876777251,0.7950819672131147,0.9372246696035242
SH017,0.0,S,0.590285110876452,0.48484848484848486,0.5725338491295938
SH017,0.0625,S,0.8470290771175727,0.8428571428571429,0.7836538461538461
SH017,0.125,S,0.8890339425587467,0.9097744360902256,0.861244019138756
SH017,0.25,S,0.942998760842627,0.9090909090909091,0.9487179487179487
SH017,1.0,S,0.9715302491103203,0.9735099337748344,0.9871244635193133
