animal,contrast,genotype,0.2,0.5,0.8
NYU-31,0.0,N,0.6779661016949152,0.5594405594405595,0.3978260869565217
NYU-31,0.0625,N,0.8056338028169014,0.6666666666666666,0.7093023255813954
NYU-31,0.125,N,0.8157894736842105,0.7536231884057971,0.7333333333333333
NYU-31,0.25,N,0.8660968660968661,0.7083333333333334,0.8045977011494253
NYU-31,1.0,N,0.8898305084745762,0.7887323943661971,0.7831325301204819
NYU-32,-1.0,N,0.1415929203539823,0.05555555555555558,0.058510638297872286
NYU-32,-0.25,N,0.27083333333333337,0.3258426966292135,0.21534653465346532
NYU-32,-0.125,N,0.4563106796116505,0.4342105263157895,0.3342465753424657
NYU-32,-0.0625,N,0.6363636363636364,0.6463414634146342,0.4679144385026738
NYU-32,0.0,N,0.7474120082815735,0.45161290322580644,0.327313769751693
NYU-32,0.0625,N,0.9575,0.813953488372093,0.8947368421052632
NYU-32,0.125,N,0.9282511210762332,0.9375,0.8842105263157894
NYU-32,0.25,N,0.95,0.972972972972973,0.9418604651162791
NYU-32,1.0,N,0.9565217391304348,0.9487179487179487,0.9263157894736842
NYU-38,-1.0,N,0.17948717948717952,0.17808219178082196,0.0449438202247191
NYU-38,-0.25,N,0.20408163265306123,0.27586206896551724,0.08842105263157896
NYU-38,-0.125,N,0.35964912280701755,0.2962962962962963,0.14915966386554624
NYU-38,-0.0625,N,0.4913793103448276,0.41463414634146345,0.21350762527233114
NYU-38,0.0,N,0.5247148288973384,0.5405405405405406,0.6058700209643606
NYU-38,0.0625,N,0.7024608501118568,0.5555555555555556,0.5473684210526316
NYU-38,0.125,N,0.838495575221239,0.7228915662650602,0.6869565217391305
NYU-38,0.25,N,0.9274725274725275,0.8918918918918919,0.8476190476190476
NYU-38,1.0,N,0.9696969696969697,0.9518072289156626,0.9658119658119658
NYU-41,-1.0,N,0.05600000000000005,0.036036036036036,0.03819444444444442
NYU-41,-0.25,N,0.07534246575342463,0.09322033898305082,0.06488549618320616
NYU-41,-0.125,N,0.11940298507462688,0.0892857142857143,0.14383561643835618
NYU-41,-0.0625,N,0.28671328671328666,0.2457627118644068,0.20486111111111116
NYU-41,0.0,N,0.6379821958456974,0.5707070707070707,0.48554913294797686
NYU-41,0.0625,N,0.8792184724689165,0.8141592920353983,0.7307692307692307
NYU-41,0.125,N,0.9405772495755518,0.9009009009009009,0.8896103896103896
NYU-41,0.25,N,0.95,0.9009009009009009,0.8832116788321168
NYU-41,1.0,N,0.9845360824742269,0.9431818181818182,0.935251798561151
NYU-42,-1.0,N,0.05978260869565222,0.02777777777777779,0.02400960384153661
NYU-42,-0.25,N,0.1032608695652174,0.07462686567164178,0.03576341127922966
NYU-42,-0.125,N,0.18652849740932642,0.11971830985915488,0.050000000000000044
NYU-42,-0.0625,N,0.18652849740932642,0.12030075187969924,0.08778625954198471
NYU-42,0.0,N,0.43491735537190085,0.49812734082397003,0.70995670995671
NYU-42,0.0625,N,0.7243994943109987,0.6143790849673203,0.41304347826086957
NYU-42,0.125,N,0.8367593712212817,0.7094017094017094,0.5591397849462365
NYU-42,0.25,N,0.8954703832752613,0.813953488372093,0.7028571428571428
NYU-42,1.0,N,0.9456118665018541,0.9007633587786259,0.8873873873873874
NYU-43,-1.0,N,0.0461538461538461,0.04977375565610864,0.01912350597609558
NYU-43,-0.25,N,0.13559322033898302,0.1601941747572816,0.04941176470588238
NYU-43,-0.125,N,0.21660649819494582,0.3076923076923077,0.08072100313479624
NYU-43,-0.0625,N,0.45195729537366547,0.4,0.17164179104477617
NYU-43,0.0,N,0.625,0.5076923076923077,0.5711297071129707
NYU-43,0.0625,N,0.841506129597198,0.7476635514018691,0.5719424460431655
NYU-43,0.125,N,0.9080357142857143,0.7777777777777778,0.7039473684210527
NYU-43,0.25,N,0.9252506836827712,0.8811881188118812,0.7203947368421053
NYU-43,1.0,N,0.9616122840690979,0.9411764705882353,0.8727272727272727
NYU-44,-1.0,N,0.028846153846153855,0.02371541501976282,0.010333863275039712
NYU-44,-0.25,N,0.04391891891891897,0.05691056910569103,0.0255281690140845
NYU-44,-0.125,N,0.07836990595611282,0.09999999999999998,0.051372896368467647
NYU-44,-0.0625,N,0.19387755102040816,0.19047619047619047,0.09483488569009313
NYU-44,0.0,N,0.5841059602649007,0.5424836601307189,0.5882352941176471
NYU-44,0.0625,N,0.8710667689946278,0.6150442477876106,0.6616766467065869
NYU-44,0.125,N,0.9228971962616822,0.7830188679245284,0.7712418300653595
NYU-44,0.25,N,0.9424168694241687,0.8260869565217391,0.8380952380952381
NYU-44,1.0,N,0.96328125,0.9421487603305785,0.9080882352941176
NYU-49,-1.0,N,0.0357142857142857,0.02083333333333337,0.04640371229698381
NYU-49,-0.25,N,0.11827956989247312,0.05940594059405946,0.08061002178649235
NYU-49,-0.125,N,0.15384615384615385,0.173469387755102,0.08545034642032334
NYU-49,-0.0625,N,0.3089430894308943,0.2777777777777778,0.14230019493177393
NYU-49,0.0,N,0.5835010060362174,0.4968944099378882,0.6052141527001862
NYU-49,0.0625,N,0.7995824634655533,0.7126436781609196,0.6120689655172413
NYU-49,0.125,N,0.8403755868544601,0.8709677419354839,0.7203389830508474
NYU-49,0.25,N,0.9256594724220624,0.9036144578313253,0.8660714285714286
NYU-49,1.0,N,0.9616306954436451,0.945054945054945,0.935251798561151
SH002,-1.0,S,0.10194174757281549,0.06542056074766356,0.04139715394566623
SH002,-0.25,S,0.17488789237668156,0.15384615384615385,0.04895104895104896
SH002,-0.125,S,0.2191780821917808,0.15841584158415845,0.0430622009569378
SH002,-0.0625,S,0.20547945205479456,0.15740740740740744,0.0441347270615563
SH002,0.0,S,0.31464737793851716,0.494949494949495,0.7358490566037735
SH002,0.0625,S,0.4457274826789838,0.38144329896907214,0.264
SH002,0.125,S,0.6390532544378699,0.5227272727272727,0.497737556561086
SH002,0.25,S,0.835990888382688,0.7835051546391752,0.7635467980295566
SH002,1.0,S,0.9481743227326266,0.9333333333333333,0.8959276018099548
SH004,-1.0,S,0.12,0.05555555555555558,0.017391304347826098
SH004,-0.25,S,0.1515151515151515,0.0,0.05932203389830504
SH004,-0.125,S,0.0625,0.1428571428571429,0.09909909909909909
SH004,-0.0625,S,0.1333333333333333,0.09523809523809523,0.09482758620689657
SH004,0.0,S,0.3333333333333333,0.4878048780487805,0.7115384615384616
SH004,0.0625,S,0.43564356435643564,0.2727272727272727,0.3333333333333333
SH004,0.125,S,0.7357142857142858,0.5294117647058824,0.44
SH004,0.25,S,0.9056603773584906,0.65,0.7941176470588235
SH004,1.0,S,0.9464285714285714,0.95,0.8846153846153846
SH006,-1.0,S,0.07843137254901966,0.0,0.047808764940239
SH006,-0.25,S,0.101010101010101,0.13709677419354838,0.08528784648187637
SH006,-0.125,S,0.18918918918918914,0.19387755102040816,0.13725490196078427
SH006,-0.0625,S,0.44166666666666665,0.36936936936936937,0.2516268980477223
SH006,0.0,S,0.536779324055666,0.46710526315789475,0.548936170212766
SH006,0.0625,S,0.8126195028680688,0.6415094339622641,0.5470085470085471
